,Device ID,Body Dims(mm),Body Hight(mm),Body Width(mm),Body Depth(mm),Body Dims(inch),Body Hight(inch),Body Width(inch),Body Depth(inch),Body Weight(g),Body Weight(oz)
0,11706,146.7 x 71.9 x 10,146.7,71.9,10.0,5.78 x 2.83 x 0.39,5.78,2.83,0.39,172.0,6.07
1,10981,156.4 x 74.8 x 9.7,156.4,74.8,9.7,6.16 x 2.94 x 0.38,6.16,2.94,0.38,190.0,6.7
2,10980,137.6 x 65.7 x 9.8,137.6,65.7,9.8,5.42 x 2.59 x 0.39,5.42,2.59,0.39,134.0,4.73
3,10679,165.6 x 75.6 x 8.7,165.6,75.6,8.7,6.52 x 2.98 x 0.34,6.52,2.98,0.34,194.0,6.84
4,10680,165.6 x 75.6 x 8.8,165.6,75.6,8.8,6.52 x 2.98 x 0.35,6.52,2.98,0.35,190.0,6.7
5,10682,155.9 x 74.5 x 9.9,155.9,74.5,9.9,6.14 x 2.93 x 0.39,6.14,2.93,0.39,179.0,6.31
6,11659,165.2 x 75.5 x 8.9,165.2,75.5,8.9,6.50 x 2.97 x 0.35,6.5,2.97,0.35,190.0,6.7
7,10618,159.2 x 75.2 x 8.7,159.2,75.2,8.7,6.27 x 2.96 x 0.34,6.27,2.96,0.34,175.0,6.17
8,12017,107.3 x 55.6 x 19.9,107.3,55.6,19.9,4.22 x 2.19 x 0.78,4.22,2.19,0.78,133.0,4.69
9,10500,104.9 x 53.1 x 20.1,104.9,53.1,20.1,4.13 x 2.09 x 0.79,4.13,2.09,0.79,118.0,4.16
10,10501,104.9 x 52.8 x 18.7,104.9,52.8,18.7,4.13 x 2.08 x 0.74,4.13,2.08,0.74,118.0,4.16
11,12041,243.3 x 161.2 x 9.4,243.3,161.2,9.4,9.58 x 6.35 x 0.37,9.58,6.35,0.37,475.0,
12,10490,165 x 75 x 9.1,165.0,75.0,9.1,6.50 x 2.95 x 0.36,6.5,2.95,0.36,186.0,6.56
13,10016,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
14,10017,158.7 x 74.6 x 8.5,158.7,74.6,8.5,6.25 x 2.94 x 0.33,6.25,2.94,0.33,165.0,5.82
15,10018,158.7 x 74.8 x 8.9,158.7,74.8,8.9,6.25 x 2.94 x 0.35,6.25,2.94,0.35,160.0,5.64
16,10019,146.1 x 71.6 x 9.9,146.1,71.6,9.9,5.75 x 2.82 x 0.39,5.75,2.82,0.39,168.0,5.93
17,10042,174.5 x 83.3 x 8.4,174.5,83.3,8.4,6.87 x 3.28 x 0.33,6.87,3.28,0.33,197.9,6.98
