,Device ID,Type,Type Specific,Size(inch),Size(cm2),Screen Body Ratio,Resolution Pixel,Resolution Width,Resolution Hight,Resolution ppi,Resolution Ratio
0,11706,TFT,TFT LCD,5.5,78.1,74.0,720 x 1440,720.0,1440.0,293.0,18:9
1,10981,IPS,IPS LCD,6.1,91.3,78.1,720 x 1560,720.0,1560.0,282.0,5:9
2,10980,TFT,TFT LCD,5.0,64.5,71.4,480 x 960,480.0,960.0,215.0,18:9
3,10679,IPS,IPS LCD,6.52,102.6,82.0,720 x 1600,720.0,1600.0,269.0,20:9
4,10680,IPS,IPS LCD,6.52,102.6,82.0,720 x 1600,720.0,1600.0,269.0,20:9
5,10682,IPS,IPS LCD,6.1,91.3,78.6,720 x 1560,720.0,1560.0,282.0,5:9
6,11659,IPS,IPS LCD,6.52,102.6,82.3,720 x 1600,720.0,1600.0,269.0,20:9
7,10618,IPS,IPS LCD,6.22,96.6,80.7,720 x 1520,720.0,1520.0,270.0,19:9
8,12017,TFT,TN TFT LCD,2.8,24.3,40.7,240 x 320,240.0,320.0,143.0,4:3
9,10500,TFT,TN TFT LCD,2.8,24.3,43.6,240 x 320,240.0,320.0,143.0,4:3
10,10501,TFT,TN TFT LCD,2.8,24.3,43.8,240 x 320,240.0,320.0,143.0,4:3
11,12041,IPS,IPS LCD,10.1,295.8,75.4,800 x 1280,800.0,1280.0,149.0,16:10
12,10490,IPS,IPS LCD,6.52,102.6,82.9,720 x 1600,720.0,1600.0,269.0,20:9
13,10016,IPS,IPS LCD,6.22,96.6,81.6,720 x 1520,720.0,1520.0,270.0,19:9
14,10017,IPS,IPS LCD,6.22,96.6,81.6,720 x 1520,720.0,1520.0,270.0,19:9
15,10018,IPS,IPS LCD,6.22,96.6,81.3,720 x 1520,720.0,1520.0,270.0,19:9
16,10019,IPS,IPS LCD,5.5,78.1,74.6,720 x 1440,720.0,1440.0,293.0,18:9
17,10042,IPS,IPS LCD,6.7,115.8,79.7,720 x 1440,720.0,1440.0,240.0,18:9
18,9842,IPS,IPS LCD,6.52,102.6,82.1,720 x 1600,720.0,1600.0,269.0,20:9
19,9843,IPS,IPS LCD,5.5,78.1,72.5,480 x 960,480.0,960.0,195.0,18:9
20,10108,IPS,IPS LCD,8.0,185.6,70.9,800 x 1280,800.0,1280.0,189.0,16:10
21,9837,TFT,TN TFT LCD,7.0,137.9,62.2,600 x 1024,600.0,1024.0,170.0,16:9
22,9601,IPS,IPS LCD,10.0,290.0,71.2,800 x 1280,800.0,1280.0,151.0,16:10
23,9600,IPS,IPS LCD,5.94,86.6,82.2,720 x 1560,720.0,1560.0,289.0,5:9
24,9599,IPS,IPS LCD,5.94,86.6,82.2,720 x 1560,720.0,1560.0,289.0,5:9
25,9598,IPS,IPS LCD,5.5,78.1,74.7,720 x 1440,720.0,1440.0,293.0,18:9
