,Device ID,Memory
0,11706,32GB
1,10981,32GB
2,10980,16GB
3,10980,8GB
4,10679,64GB
5,10680,32GB
6,10682,32GB
7,11659,32GB
8,11659,64GB
9,10618,128GB
10,10618,32GB
11,10618,64GB
12,12017,4GB
13,10500,4GB
14,10501,8GB
15,12041,32GB
16,10490,128GB
17,10490,64GB
18,10016,64GB
19,10017,32GB
20,10018,32GB
21,10019,16GB
22,10019,32GB
23,10042,32GB
24,9842,128GB
25,9842,64GB
26,9843,16GB
27,10108,16GB
28,10108,32GB
29,9837,16GB
30,9601,16GB
31,9600,16GB
32,9599,32GB
33,9599,64GB
34,9598,32GB
35,9598,64GB
36,9510,16GB
37,9511,8GB
38,9985,16GB
39,9985,8GB
40,9574,16GB
41,9291,32GB
42,9271,32GB
43,9012,16GB
44,9012,32GB
45,9004,16GB
46,9004,32GB
47,9084,16GB
48,9084,32GB
49,9085,16GB
50,9086,16GB
51,8989,16GB
52,9986,4GB
53,9986,512MB
54,9093,16GB
55,9094,8GB
56,8844,32GB
57,8832,16GB
58,8843,32GB
59,8830,32GB
60,8819,8GB
61,8803,16GB
62,8569,32GB
63,8639,32GB
64,8591,8GB
65,8590,16GB
66,8590,32GB
67,8589,16GB
68,8512,16GB
69,8512,8GB
70,8377,16GB
71,8352,8GB
72,8298,16GB
73,8205,16GB
74,8157,8GB
75,8105,16GB
76,8105,32GB
77,8060,8GB
78,7937,16GB
79,7936,16GB
80,7935,8GB
81,8449,64GB
82,7896,32GB
83,7897,16GB
84,7856,16GB
85,7851,
86,7847,8GB
87,8167,8GB
88,7846,16GB
89,7846,8GB
90,7845,4GB
91,7845,8GB
92,7844,4GB
93,7843,8GB
94,8230,8GB
95,7776,8GB
96,7720,16GB
97,7709,
98,7708,
99,7570,16GB
100,7652,4MB
101,7571,
102,7549,16GB
103,7548,16GB
104,7547,4GB
105,7546,16GB
106,7545,8GB
107,7544,8GB
108,7543,8GB
109,7190,16GB
110,7234,4GB
111,7189,8GB
112,7081,16GB
113,7081,32GB
114,7080,16GB
115,7080,8GB
116,7092,512MB
117,7093,
118,7094,
119,7098,4GB
120,7097,4GB
121,7096,4GB
122,7095,4GB
123,6936,8GB
124,6935,4GB
125,6935,8GB
126,6934,4GB
127,6933,4GB
128,6979,512MB
129,6932,4GB
130,6774,4GB
131,6773,4GB
132,6732,4GB
133,6712,256MB
134,7123,8GB
135,6700,8GB
136,6699,4GB
137,6657,8GB
138,6656,8GB
139,7154,4GB
140,7153,4GB
141,6655,8GB
142,6654,16GB
143,6654,32GB
144,6654,8GB
145,6653,16GB
146,6619,4GB
147,6599,4GB
148,6516,4GB
149,6459,4GB
150,6459,8GB
151,6931,16MB
152,6695,128MB
153,6696,128MB
154,6337,4MB
155,6336,128MB
156,6336,64MB
157,6165,4GB
158,6164,
159,6153,8GB
160,6152,4GB
161,6151,4GB
162,6141,
163,6140,4GB
164,6139,4GB
165,6138,4GB
166,6134,8GB
167,6130,16GB
168,6130,8GB
169,6135,4GB
170,6135,8GB
171,6131,4GB
