,Device ID,RAM
0,11706,2GB
1,10981,2GB
2,10980,1GB
3,10679,4GB
4,10680,3GB
5,10682,2GB
6,11659,2GB
7,10618,2GB
8,10618,3GB
9,10618,4GB
10,12017,512MB
11,10500,512MB
12,10501,1GB
13,12041,2GB
14,10490,4GB
15,10490,6GB
16,10016,4GB
17,10017,3GB
18,10018,2GB
19,10019,2GB
20,10042,3GB
21,9842,4GB
22,9842,6GB
23,9843,1GB
24,9843,2GB
25,9843,3GB
26,10108,1GB
27,10108,2GB
28,10108,3GB
29,9837,1.5GB
30,9601,2GB
31,9600,2GB
32,9599,3GB
33,9599,4GB
34,9598,3GB
35,9598,4GB
36,9510,2GB
37,9511,1GB
38,9985,1GB
39,9574,2GB
40,9291,2GB
41,9271,3GB
42,9012,2GB
43,9012,3GB
44,9004,2GB
45,9084,2GB
46,9084,3GB
47,9085,2GB
48,9086,1GB
49,9086,2GB
50,8989,1GB
51,9986,
52,9093,1GB
53,9094,1GB
54,8844,3GB
55,8832,3GB
56,8843,3GB
57,8830,3GB
58,8819,1GB
59,8803,2GB
60,8569,3GB
61,8639,3GB
62,8591,1GB
63,8590,2GB
64,8590,3GB
65,8589,1.5GB
66,8512,2GB
67,8377,2GB
68,8352,1GB
69,8298,2GB
70,8205,2GB
71,8157,1GB
72,8105,2GB
73,8105,3GB
74,8060,1GB
75,7937,2GB
76,7936,1.5GB
77,7935,1GB
78,8449,4GB
79,7896,3GB
80,7897,2GB
81,7897,3GB
82,7856,2GB
83,7851,
84,7847,1GB
85,8167,1GB
86,7846,1.5GB
87,7846,1GB
88,7845,1GB
89,7845,512MB
90,7844,512MB
91,7843,1GB
92,8230,1GB
93,7776,1GB
94,7720,2GB
95,7709,8MB
96,7708,8MB
97,7570,2GB
98,7652,
99,7571,16MB
100,7549,2GB
101,7548,1GB
102,7547,512MB
103,7546,2GB
104,7545,1GB
105,7544,1GB
106,7543,1GB
107,7190,2GB
108,7234,1GB
109,7189,1GB
110,7081,2GB
111,7080,1.5GB
112,7092,256MB
113,7093,
114,7094,
115,7098,1GB
116,7097,1GB
117,7096,512MB
118,7095,512MB
119,6936,1GB
120,6935,1GB
121,6935,512MB
122,6934,1GB
123,6934,512MB
124,6933,512MB
125,6979,256MB
126,6932,512MB
127,6774,512MB
128,6773,512MB
129,6732,1GB
130,6712,128MB
131,7123,1GB
132,6700,1GB
133,6699,512MB
134,6657,1GB
135,6656,1GB
136,7154,1GB
137,7153,512MB
138,6655,1GB
139,6654,2GB
140,6653,2GB
141,6619,512MB
142,6599,512MB
143,6516,512MB
144,6459,1GB
145,6459,512MB
146,6931,
147,6695,64MB
148,6696,
149,6337,4MB
150,6336,
151,6165,1GB
152,6164,
153,6153,1GB
154,6152,1GB
155,6151,1GB
156,6141,
157,6140,1GB
158,6139,512MB
159,6138,512MB
160,6134,1GB
161,6130,1GB
162,6135,1GB
163,6131,1GB
164,6132,512MB
165,5960,
166,6167,
167,5937,2GB
168,5938,1GB
169,5947,1GB
170,5939,1GB
171,5741,1GB
172,5740,512MB
173,5693,1GB
174,5693,512MB
175,5692,512MB
176,5687,512MB
177,5691,512MB
178,5680,1GB
179,5671,1GB
180,5672,2GB
181,5668,1GB
182,5669,512MB
183,5449,1GB
184,5335,1GB
185,5681,256MB
186,5334,1GB
187,5318,2GB
188,5319,256MB
189,5296,512MB
190,5332,512MB
191,5236,1GB
192,5235,1GB
193,5234,1GB
194,5233,1GB
195,5232,1GB
196,5231,1GB
197,5230,1GB
198,5229,256MB
199,5228,512MB
200,5242,1GB
201,5242,512MB
202,5227,
203,5226,1GB
204,5225,1GB
205,5218,1GB
206,5139,512MB
207,5110,1GB
208,5165,1GB
209,5866,512MB
210,5103,
211,5080,512MB
212,4846,
213,4845,
214,4844,
215,4843,
216,4842,
217,4780,1GB
218,4733,
219,4732,
220,4731,
221,4730,
222,4920,
223,4729,
224,4728,
225,4727,
226,4726,
227,4725,
228,4724,
229,4723,
230,4722,
231,4721,
232,4720,
233,4663,256MB
234,4549,
235,4922,
236,4321,
237,4308,
238,4661,512MB
239,3799,
240,3798,
241,4629,
242,3797,
243,3796,
244,3795,
245,3822,
246,4659,256MB
247,4528,256MB
248,4104,
249,3793,
250,3794,
251,3800,
252,4628,
253,4103,
254,3824,
255,3801,
256,3802,
257,3803,
258,3804,
259,3805,
260,3806,
261,3807,
262,3808,
263,3809,
264,3810,
265,3811,
266,3812,
267,3813,
268,3814,
269,3815,
270,3816,
271,3817,
272,3818,
273,3819,
274,3820,
275,3821,
276,3823,
277,3407,
278,3186,
279,3184,
280,3182,
281,3181,
282,3178,
283,3179,
284,3176,
285,3173,
286,3188,
287,3171,
288,3175,
289,3170,
290,3172,
291,3168,
292,3174,
293,3187,
294,3185,
295,3183,
296,3180,
297,3177,
298,12548,8GB
299,12557,8GB
300,12558,6GB
301,12559,6GB
302,12560,
303,12561,
304,12562,
305,11939,16GB
306,11939,8GB
307,11940,16GB
308,11940,8GB
309,11941,4GB
310,11773,6GB
311,11860,6GB
312,11862,6GB
313,11861,6GB
314,11827,
315,11866,1GB
316,11864,1GB
317,11865,1GB
318,11410,4GB
319,11411,8GB
320,11089,6GB
321,11102,6GB
322,11103,4GB
323,11104,4GB
324,11105,4GB
325,11106,3GB
326,11147,1GB
327,11146,1GB
328,11107,1GB
329,10864,16GB
330,10864,8GB
331,10865,16GB
332,10865,8GB
333,10237,6GB
334,10508,6GB
335,10509,4GB
336,10510,4GB
337,10444,4GB
338,10445,3GB
339,10446,1GB
340,10447,1GB
341,10448,1GB
342,10449,1GB
343,10170,3GB
344,10136,6GB
345,10137,6GB
346,9846,4GB
347,9847,4GB
348,9848,4GB
349,9857,3GB
350,9860,1GB
351,9859,1GB
352,9858,1GB
353,9638,3GB
354,9637,3GB
355,9387,4GB
356,9387,6GB
357,9386,4GB
