,Device_id,SIM Type,SIM Num
0,11706,Nano,Single
1,11706,Nano,Dual
2,11706,0.0,Single
3,11706,0.0,Dual
4,11706,0.0,Single
5,11706,0.0,Dual
6,11706,0.0,Single
7,11706,0.0,Dual
8,10981,Nano,Single
9,10981,Nano,Dual
10,10981,0.0,Single
11,10981,0.0,Dual
12,10981,0.0,Single
13,10981,0.0,Dual
14,10981,0.0,Single
15,10981,0.0,Dual
16,10980,Nano,Single
17,10980,Nano,Dual
18,10980,0.0,Single
19,10980,0.0,Dual
20,10980,0.0,Single
21,10980,0.0,Dual
22,10980,0.0,Single
23,10980,0.0,Dual
24,10679,Nano,Single
25,10679,Nano,Dual
26,10679,0.0,Single
27,10679,0.0,Dual
28,10679,0.0,Single
29,10679,0.0,Dual
30,10679,0.0,Single
31,10679,0.0,Dual
32,10680,Nano,Single
33,10680,Nano,Dual
34,10680,0.0,Single
35,10680,0.0,Dual
36,10680,0.0,Single
37,10680,0.0,Dual
38,10680,0.0,Single
39,10680,0.0,Dual
40,10682,Nano,Single
41,10682,Nano,Dual
42,10682,0.0,Single
43,10682,0.0,Dual
44,10682,0.0,Single
45,10682,0.0,Dual
46,10682,0.0,Single
47,10682,0.0,Dual
48,11659,Nano,Single
49,11659,Nano,Dual
50,11659,0.0,Single
51,11659,0.0,Dual
52,11659,0.0,Single
53,11659,0.0,Dual
54,11659,0.0,Single
55,11659,0.0,Dual
56,10618,Nano,0.0
57,10618,Nano,Dual
58,10618,0.0,0.0
59,10618,0.0,Dual
60,10618,0.0,0.0
61,10618,0.0,Dual
62,10618,0.0,0.0
63,10618,0.0,Dual
64,12017,Nano,0.0
65,12017,Nano,0.0
66,12017,0.0,0.0
67,12017,0.0,0.0
68,12017,0.0,0.0
69,12017,0.0,0.0
70,12017,0.0,0.0
71,12017,0.0,0.0
72,10500,Nano,0.0
73,10500,Nano,0.0
74,10500,0.0,0.0
75,10500,0.0,0.0
76,10500,0.0,0.0
77,10500,0.0,0.0
78,10500,0.0,0.0
79,10500,0.0,0.0
80,10501,Nano,0.0
81,10501,Nano,0.0
82,10501,0.0,0.0
83,10501,0.0,0.0
84,10501,0.0,0.0
85,10501,0.0,0.0
86,10501,0.0,0.0
87,10501,0.0,0.0
88,12041,Nano,0.0
89,12041,Nano,0.0
90,12041,0.0,0.0
91,12041,0.0,0.0
92,12041,0.0,0.0
93,12041,0.0,0.0
94,12041,0.0,0.0
95,12041,0.0,0.0
96,10490,Nano,0.0
97,10490,Nano,Dual
98,10490,0.0,0.0
99,10490,0.0,Dual
100,10490,0.0,0.0
101,10490,0.0,Dual
102,10490,0.0,0.0
103,10490,0.0,Dual
104,10016,Nano,0.0
105,10016,Nano,Dual
106,10016,0.0,0.0
107,10016,0.0,Dual
108,10016,0.0,0.0
109,10016,0.0,Dual
110,10016,0.0,0.0
111,10016,0.0,Dual
112,10017,Nano,0.0
113,10017,Nano,Dual
114,10017,0.0,0.0
115,10017,0.0,Dual
116,10017,0.0,0.0
117,10017,0.0,Dual
118,10017,0.0,0.0
119,10017,0.0,Dual
120,10018,Nano,0.0
121,10018,Nano,Dual
122,10018,0.0,0.0
123,10018,0.0,Dual
124,10018,0.0,0.0
125,10018,0.0,Dual
126,10018,0.0,0.0
127,10018,0.0,Dual
128,10019,Nano,0.0
129,10019,Nano,Dual
130,10019,0.0,0.0
131,10019,0.0,Dual
132,10019,0.0,0.0
133,10019,0.0,Dual
134,10019,0.0,0.0
135,10019,0.0,Dual
136,10042,Nano,0.0
137,10042,Nano,0.0
138,10042,0.0,0.0
139,10042,0.0,0.0
140,10042,0.0,0.0
141,10042,0.0,0.0
142,10042,0.0,0.0
143,10042,0.0,0.0
144,9842,Nano,Single
145,9842,Nano,Dual
146,9842,0.0,Single
147,9842,0.0,Dual
148,9842,0.0,Single
149,9842,0.0,Dual
150,9842,0.0,Single
151,9842,0.0,Dual
152,9843,Nano,Single
153,9843,Nano,Dual
154,9843,0.0,Single
155,9843,0.0,Dual
156,9843,0.0,Single
157,9843,0.0,Dual
158,9843,0.0,Single
159,9843,0.0,Dual
160,10108,0.0,0.0
161,10108,0.0,0.0
162,10108,Micro,0.0
163,10108,Micro,0.0
164,10108,0.0,0.0
165,10108,0.0,0.0
166,10108,0.0,0.0
167,10108,0.0,0.0
168,9837,0.0,0.0
169,9837,0.0,0.0
170,9837,0.0,0.0
171,9837,0.0,0.0
172,9837,0.0,0.0
173,9837,0.0,0.0
174,9837,0.0,0.0
175,9837,0.0,0.0
176,9601,Nano,0.0
177,9601,Nano,0.0
178,9601,0.0,0.0
179,9601,0.0,0.0
180,9601,0.0,0.0
181,9601,0.0,0.0
182,9601,0.0,0.0
183,9601,0.0,0.0
184,9600,Nano,0.0
185,9600,Nano,Dual
186,9600,0.0,0.0
187,9600,0.0,Dual
188,9600,0.0,0.0
189,9600,0.0,Dual
190,9600,0.0,0.0
191,9600,0.0,Dual
192,9599,Nano,0.0
193,9599,Nano,Dual
194,9599,0.0,0.0
195,9599,0.0,Dual
196,9599,0.0,0.0
197,9599,0.0,Dual
198,9599,0.0,0.0
199,9599,0.0,Dual
200,9598,Nano,0.0
201,9598,Nano,Dual
202,9598,0.0,0.0
203,9598,0.0,Dual
204,9598,0.0,0.0
205,9598,0.0,Dual
206,9598,0.0,0.0
207,9598,0.0,Dual
208,9510,Nano,Single
209,9510,Nano,Dual
210,9510,0.0,Single
211,9510,0.0,Dual
212,9510,0.0,Single
213,9510,0.0,Dual
214,9510,0.0,Single
215,9510,0.0,Dual
216,9511,Nano,Single
217,9511,Nano,Dual
218,9511,0.0,Single
219,9511,0.0,Dual
220,9511,0.0,Single
221,9511,0.0,Dual
222,9511,0.0,Single
223,9511,0.0,Dual
224,9985,Nano,Single
225,9985,Nano,Dual
226,9985,0.0,Single
227,9985,0.0,Dual
228,9985,0.0,Single
229,9985,0.0,Dual
230,9985,0.0,Single
231,9985,0.0,Dual
232,9574,Nano,0.0
233,9574,Nano,0.0
234,9574,0.0,0.0
235,9574,0.0,0.0
236,9574,0.0,0.0
237,9574,0.0,0.0
238,9574,0.0,0.0
239,9574,0.0,0.0
240,9291,Nano,0.0
241,9291,Nano,0.0
242,9291,0.0,0.0
243,9291,0.0,0.0
244,9291,0.0,0.0
245,9291,0.0,0.0
246,9291,0.0,0.0
247,9291,0.0,0.0
248,9271,0.0,Single
249,9271,0.0,Dual
250,9271,Micro,Single
251,9271,Micro,Dual
